id,label,iri,semantic,taxon_id,taxon_label,semantic_label
MGI:1890619,Gan,http://www.informatics.jax.org/accession/MGI:1890619,gene,NCBITaxon:10090,Mus musculus,Gene
WormBase:WBGene00020748,nhr-221,https://www.wormbase.org/get?name=WBGene00020748,gene,NCBITaxon:6239,Caenorhabditis elegans,Gene
ENSEMBL:ENSGALG00000001459,ENSEMBL:ENSGALG00000001459,http://ensembl.org/id/ENSGALG00000001459,gene,NCBITaxon:9031,Gallus gallus,Gene
SGD:S000004711,PGM2,https://www.yeastgenome.org/locus/S000004711,gene,NCBITaxon:559292,Saccharomyces cerevisiae S288C,Gene
HGNC:5024,HNF4A,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:5024,gene,NCBITaxon:9606,Homo sapiens,Gene
ENSEMBL:ENSSSCG00000015618,LAMB3,http://ensembl.org/id/ENSSSCG00000015618,gene,NCBITaxon:9823,Sus scrofa,Gene
ENSEMBL:ENSMMUG00000015084,ENSEMBL:ENSMMUG00000015084,http://ensembl.org/id/ENSMMUG00000015084,gene,NCBITaxon:9544,Macaca mulatta,Gene
ENSEMBL:ENSSSCG00000009551,ARHGEF7,http://ensembl.org/id/ENSSSCG00000009551,gene,NCBITaxon:9823,Sus scrofa,Gene
ENSEMBL:ENSMODG00000000247,ENSEMBL:ENSMODG00000000247,http://ensembl.org/id/ENSMODG00000000247,gene,NCBITaxon:13616,Monodelphis domestica,Gene
ENSEMBL:ENSMODG00000024882,ENSEMBL:ENSMODG00000024882,http://ensembl.org/id/ENSMODG00000024882,gene,NCBITaxon:13616,Monodelphis domestica,Gene
MGI:1927340,Mpp6,http://www.informatics.jax.org/accession/MGI:1927340,gene,NCBITaxon:10090,Mus musculus,Gene
ENSEMBL:ENSBTAG00000011579,ENSEMBL:ENSBTAG00000011579,http://ensembl.org/id/ENSBTAG00000011579,gene,NCBITaxon:9913,Bos taurus,Gene
ENSEMBL:ENSCAFG00000015467,ENSEMBL:ENSCAFG00000015467,http://ensembl.org/id/ENSCAFG00000015467,gene,NCBITaxon:9615,Canis lupus familiaris,Gene
ENSEMBL:ENSSSCG00000025531,ENSEMBL:ENSSSCG00000025531,http://ensembl.org/id/ENSSSCG00000025531,gene,NCBITaxon:9823,Sus scrofa,Gene
ENSEMBL:ENSBTAG00000011789,RESTB,http://ensembl.org/id/ENSBTAG00000011789,gene,NCBITaxon:9913,Bos taurus,Gene
ENSEMBL:ENSBTAG00000012385,ENSEMBL:ENSBTAG00000012385,http://ensembl.org/id/ENSBTAG00000012385,gene,NCBITaxon:9913,Bos taurus,Gene
ENSEMBL:ENSGALG00000009368,ENSEMBL:ENSGALG00000009368,http://ensembl.org/id/ENSGALG00000009368,gene,NCBITaxon:9031,Gallus gallus,Gene
FlyBase:FBgn0000047,Act88F,http://flybase.org/reports/FBgn0000047,gene,NCBITaxon:7227,Drosophila melanogaster,Gene
ENSEMBL:ENSGALG00000006426,ENSEMBL:ENSGALG00000006426,http://ensembl.org/id/ENSGALG00000006426,gene,NCBITaxon:9031,Gallus gallus,Gene
ENSEMBL:ENSECAG00000039379,ENSEMBL:ENSECAG00000039379,http://ensembl.org/id/ENSECAG00000039379,gene,NCBITaxon:9796,Equus caballus,Gene
ENSEMBL:ENSECAG00000034915,ENSEMBL:ENSECAG00000034915,http://ensembl.org/id/ENSECAG00000034915,gene,NCBITaxon:9796,Equus caballus,Gene
ENSEMBL:ENSCAFG00000019523,APC2,http://ensembl.org/id/ENSCAFG00000019523,gene,NCBITaxon:9615,Canis lupus familiaris,Gene
ENSEMBL:ENSOANG00000004259,ENSEMBL:ENSOANG00000004259,http://ensembl.org/id/ENSOANG00000004259,gene,NCBITaxon:9258,Ornithorhynchus anatinus,Gene
ENSEMBL:ENSGALG00000041823,ENSEMBL:ENSGALG00000041823,http://ensembl.org/id/ENSGALG00000041823,gene,NCBITaxon:9031,Gallus gallus,Gene
ENSEMBL:ENSFCAG00000008186,ENSEMBL:ENSFCAG00000008186,http://ensembl.org/id/ENSFCAG00000008186,gene,NCBITaxon:9685,Felis catus,Gene
FlyBase:FBgn0003525,stg,http://flybase.org/reports/FBgn0003525,gene,NCBITaxon:7227,Drosophila melanogaster,Gene
ENSEMBL:ENSMODG00000004481,ENSEMBL:ENSMODG00000004481,http://ensembl.org/id/ENSMODG00000004481,gene,NCBITaxon:13616,Monodelphis domestica,Gene
MGI:98779,Tnnc1,http://www.informatics.jax.org/accession/MGI:98779,gene,NCBITaxon:10090,Mus musculus,Gene
ENSEMBL:ENSXETG00000039411,ENSEMBL:ENSXETG00000039411,http://ensembl.org/id/ENSXETG00000039411,gene,NCBITaxon:8364,Xenopus tropicalis,Gene
ENSEMBL:ENSGALG00000042388,A0A3Q2TS00,http://ensembl.org/id/ENSGALG00000042388,gene,NCBITaxon:9031,Gallus gallus,Gene
MGI:1354730,Rgs6,http://www.informatics.jax.org/accession/MGI:1354730,gene,NCBITaxon:10090,Mus musculus,Gene
ZFIN:ZDB-GENE-090312-198,tnni4b.1,http://zfin.org/ZDB-GENE-090312-198,gene,NCBITaxon:7955,Danio rerio,Gene
ENSEMBL:ENSBTAG00000009702,MYH8,http://ensembl.org/id/ENSBTAG00000009702,gene,NCBITaxon:9913,Bos taurus,Gene
RGD:1304690,Eml4,http://rgd.mcw.edu/rgdweb/report/gene/main.html?id=1304690,gene,NCBITaxon:10116,Rattus norvegicus,Gene
HGNC:6482,LAMA2,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6482,gene,NCBITaxon:9606,Homo sapiens,Gene
ENSEMBL:ENSPTRG00000043241,ENSEMBL:ENSPTRG00000043241,http://ensembl.org/id/ENSPTRG00000043241,gene,NCBITaxon:9598,Pan troglodytes,Gene
MGI:1917979,Nos1ap,http://www.informatics.jax.org/accession/MGI:1917979,gene,NCBITaxon:10090,Mus musculus,Gene
ENSEMBL:ENSPTRG00000013846,ENSEMBL:ENSPTRG00000013846,http://ensembl.org/id/ENSPTRG00000013846,gene,NCBITaxon:9598,Pan troglodytes,Gene
ZFIN:ZDB-GENE-040801-9,tnni2b.2,http://zfin.org/ZDB-GENE-040801-9,gene,NCBITaxon:7955,Danio rerio,Gene
ENSEMBL:ENSOANG00000007850,ENSEMBL:ENSOANG00000007850,http://ensembl.org/id/ENSOANG00000007850,gene,NCBITaxon:9258,Ornithorhynchus anatinus,Gene
ENSEMBL:ENSMMUG00000013140,ENSEMBL:ENSMMUG00000013140,http://ensembl.org/id/ENSMMUG00000013140,gene,NCBITaxon:9544,Macaca mulatta,Gene
ENSEMBL:ENSMMUG00000018547,ENSEMBL:ENSMMUG00000018547,http://ensembl.org/id/ENSMMUG00000018547,gene,NCBITaxon:9544,Macaca mulatta,Gene
ENSEMBL:ENSACAG00000016526,ENSEMBL:ENSACAG00000016526,http://ensembl.org/id/ENSACAG00000016526,gene,NCBITaxon:28377,Anolis carolinensis,Gene
FlyBase:CG5685,FlyBase:CG5685,http://flybase.org/reports/CG5685,gene,NCBITaxon:7227,Drosophila melanogaster,Gene
HGNC:10808,SGCE,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:10808,gene,NCBITaxon:9606,Homo sapiens,Gene
HGNC:12932,TRIM25,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12932,gene,NCBITaxon:9606,Homo sapiens,Gene
ENSEMBL:ENSACAG00000023160,ENSEMBL:ENSACAG00000023160,http://ensembl.org/id/ENSACAG00000023160,gene,NCBITaxon:28377,Anolis carolinensis,Gene
dictyBase:DDB_G0289505,act24,http://dictybase.org/gene/DDB_G0289505,gene,NCBITaxon:44689,Dictyostelium discoideum,Gene
WormBase:WBGene00023451,mlc-7,https://www.wormbase.org/get?name=WBGene00023451,gene,NCBITaxon:6239,Caenorhabditis elegans,Gene
ENSEMBL:ENSFCAG00000011854,ENSEMBL:ENSFCAG00000011854,http://ensembl.org/id/ENSFCAG00000011854,gene,NCBITaxon:9685,Felis catus,Gene
ENSEMBL:ENSPTRG00000006039,ENSEMBL:ENSPTRG00000006039,http://ensembl.org/id/ENSPTRG00000006039,gene,NCBITaxon:9598,Pan troglodytes,Gene
ENSEMBL:ENSSSCG00000026041,MAP3K5,http://ensembl.org/id/ENSSSCG00000026041,gene,NCBITaxon:9823,Sus scrofa,Gene
ENSEMBL:ENSOANG00000011656,ENSEMBL:ENSOANG00000011656,http://ensembl.org/id/ENSOANG00000011656,gene,NCBITaxon:9258,Ornithorhynchus anatinus,Gene
ZFIN:ZDB-GENE-031112-1,myh6,http://zfin.org/ZDB-GENE-031112-1,gene,NCBITaxon:7955,Danio rerio,Gene
WormBase:WBGene00003916,par-1,https://www.wormbase.org/get?name=WBGene00003916,gene,NCBITaxon:6239,Caenorhabditis elegans,Gene
ENSEMBL:ENSMODG00000004422,ENSEMBL:ENSMODG00000004422,http://ensembl.org/id/ENSMODG00000004422,gene,NCBITaxon:13616,Monodelphis domestica,Gene
dictyBase:DDB_G0281891,tbc1d5B,http://dictybase.org/gene/DDB_G0281891,gene,NCBITaxon:44689,Dictyostelium discoideum,Gene
ENSEMBL:ENSACAG00000004317,ENSEMBL:ENSACAG00000004317,http://ensembl.org/id/ENSACAG00000004317,gene,NCBITaxon:28377,Anolis carolinensis,Gene
ENSEMBL:ENSRNOG00000060511,Tcap,http://ensembl.org/id/ENSRNOG00000060511,gene,NCBITaxon:10116,Rattus norvegicus,Gene
RGD:2507,Dmd,http://rgd.mcw.edu/rgdweb/report/gene/main.html?id=2507,gene,NCBITaxon:10116,Rattus norvegicus,Gene
HGNC:971,BCAR1,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:971,gene,NCBITaxon:9606,Homo sapiens,Gene
WormBase:WBGene00003951,pbs-5,https://www.wormbase.org/get?name=WBGene00003951,gene,NCBITaxon:6239,Caenorhabditis elegans,Gene
ENSEMBL:ENSACAG00000002242,ENSEMBL:ENSACAG00000002242,http://ensembl.org/id/ENSACAG00000002242,gene,NCBITaxon:28377,Anolis carolinensis,Gene
dictyBase:DDB_G0269902,act26,http://dictybase.org/gene/DDB_G0269902,gene,NCBITaxon:44689,Dictyostelium discoideum,Gene
ENSEMBL:ENSMMUG00000053020,ENSEMBL:ENSMMUG00000053020,http://ensembl.org/id/ENSMMUG00000053020,gene,NCBITaxon:9544,Macaca mulatta,Gene
HGNC:28958,NUP93,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28958,gene,NCBITaxon:9606,Homo sapiens,Gene
HGNC:6481,LAMA1,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6481,gene,NCBITaxon:9606,Homo sapiens,Gene
RGD:628837,Actb,http://rgd.mcw.edu/rgdweb/report/gene/main.html?id=628837,gene,NCBITaxon:10116,Rattus norvegicus,Gene
ENSEMBL:ENSSSCG00000003712,OSBPL1A,http://ensembl.org/id/ENSSSCG00000003712,gene,NCBITaxon:9823,Sus scrofa,Gene
ENSEMBL:ENSMMUG00000048288,ENSEMBL:ENSMMUG00000048288,http://ensembl.org/id/ENSMMUG00000048288,gene,NCBITaxon:9544,Macaca mulatta,Gene
MGI:1203728,Dtnb,http://www.informatics.jax.org/accession/MGI:1203728,gene,NCBITaxon:10090,Mus musculus,Gene
MGI:1339975,Pak1,http://www.informatics.jax.org/accession/MGI:1339975,gene,NCBITaxon:10090,Mus musculus,Gene
ENSEMBL:ENSECAG00000019458,ENSEMBL:ENSECAG00000019458,http://ensembl.org/id/ENSECAG00000019458,gene,NCBITaxon:9796,Equus caballus,Gene
HGNC:6486,LAMB1,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6486,gene,NCBITaxon:9606,Homo sapiens,Gene
ZFIN:ZDB-GENE-091118-79,kcnj12b,http://zfin.org/ZDB-GENE-091118-79,gene,NCBITaxon:7955,Danio rerio,Gene
ENSEMBL:ENSECAG00000007556,ENSEMBL:ENSECAG00000007556,http://ensembl.org/id/ENSECAG00000007556,gene,NCBITaxon:9796,Equus caballus,Gene
ZFIN:ZDB-GENE-081024-1,nos1apa,http://zfin.org/ZDB-GENE-081024-1,gene,NCBITaxon:7955,Danio rerio,Gene
ENSEMBL:ENSFCAG00000003878,ENSEMBL:ENSFCAG00000003878,http://ensembl.org/id/ENSFCAG00000003878,gene,NCBITaxon:9685,Felis catus,Gene
ENSEMBL:ENSECAG00000021305,ENSEMBL:ENSECAG00000021305,http://ensembl.org/id/ENSECAG00000021305,gene,NCBITaxon:9796,Equus caballus,Gene
ENSEMBL:ENSCAFG00000013062,ENSEMBL:ENSCAFG00000013062,http://ensembl.org/id/ENSCAFG00000013062,gene,NCBITaxon:9615,Canis lupus familiaris,Gene
ENSEMBL:ENSACAG00000029475,ENSEMBL:ENSACAG00000029475,http://ensembl.org/id/ENSACAG00000029475,gene,NCBITaxon:28377,Anolis carolinensis,Gene
ENSEMBL:ENSECAG00000008017,ENSEMBL:ENSECAG00000008017,http://ensembl.org/id/ENSECAG00000008017,gene,NCBITaxon:9796,Equus caballus,Gene
ENSEMBL:ENSFCAG00000046228,ENSEMBL:ENSFCAG00000046228,http://ensembl.org/id/ENSFCAG00000046228,gene,NCBITaxon:9685,Felis catus,Gene
ENSEMBL:ENSGALG00000001046,DLGAP4,http://ensembl.org/id/ENSGALG00000001046,gene,NCBITaxon:9031,Gallus gallus,Gene
ENSEMBL:ENSDARG00000112321,CR812847.1,http://ensembl.org/id/ENSDARG00000112321,gene,NCBITaxon:7955,Danio rerio,Gene
ENSEMBL:ENSSSCG00000012631,ENSEMBL:ENSSSCG00000012631,http://ensembl.org/id/ENSSSCG00000012631,gene,NCBITaxon:9823,Sus scrofa,Gene
ENSEMBL:ENSECAG00000024860,ENSEMBL:ENSECAG00000024860,http://ensembl.org/id/ENSECAG00000024860,gene,NCBITaxon:9796,Equus caballus,Gene
HGNC:6944,MCM2,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6944,gene,NCBITaxon:9606,Homo sapiens,Gene
ENSEMBL:ENSECAG00000018600,ENSEMBL:ENSECAG00000018600,http://ensembl.org/id/ENSECAG00000018600,gene,NCBITaxon:9796,Equus caballus,Gene
RGD:708483,Mark2,http://rgd.mcw.edu/rgdweb/report/gene/main.html?id=708483,gene,NCBITaxon:10116,Rattus norvegicus,Gene
ZFIN:ZDB-GENE-110919-5,trim107,http://zfin.org/ZDB-GENE-110919-5,gene,NCBITaxon:7955,Danio rerio,Gene
ENSEMBL:ENSPTRG00000005865,ENSEMBL:ENSPTRG00000005865,http://ensembl.org/id/ENSPTRG00000005865,gene,NCBITaxon:9598,Pan troglodytes,Gene
ENSEMBL:ENSFCAG00000024153,ENSEMBL:ENSFCAG00000024153,http://ensembl.org/id/ENSFCAG00000024153,gene,NCBITaxon:9685,Felis catus,Gene
WormBase:WBGene00003691,nhr-101,https://www.wormbase.org/get?name=WBGene00003691,gene,NCBITaxon:6239,Caenorhabditis elegans,Gene
ENSEMBL:ENSMMUG00000003053,ENSEMBL:ENSMMUG00000003053,http://ensembl.org/id/ENSMMUG00000003053,gene,NCBITaxon:9544,Macaca mulatta,Gene
NCBIGene:100006132,si:ch211-1f22.2,https://www.ncbi.nlm.nih.gov/gene/100006132,gene,NCBITaxon:7955,Danio rerio,Gene
ENSEMBL:ENSGALG00000034399,TNS2,http://ensembl.org/id/ENSGALG00000034399,gene,NCBITaxon:9031,Gallus gallus,Gene
ENSEMBL:ENSSSCG00000015328,SGCE,http://ensembl.org/id/ENSSSCG00000015328,gene,NCBITaxon:9823,Sus scrofa,Gene
FlyBase:FBgn0004118,nAChRbeta2,http://flybase.org/reports/FBgn0004118,gene,NCBITaxon:7227,Drosophila melanogaster,Gene
ENSEMBL:ENSMMUG00000016925,ENSEMBL:ENSMMUG00000016925,http://ensembl.org/id/ENSMMUG00000016925,gene,NCBITaxon:9544,Macaca mulatta,Gene
ENSEMBL:ENSFCAG00000033157,ENSEMBL:ENSFCAG00000033157,http://ensembl.org/id/ENSFCAG00000033157,gene,NCBITaxon:9685,Felis catus,Gene
ENSEMBL:ENSFCAG00000009900,ENSEMBL:ENSFCAG00000009900,http://ensembl.org/id/ENSFCAG00000009900,gene,NCBITaxon:9685,Felis catus,Gene
RGD:2320917,Dytn,http://rgd.mcw.edu/rgdweb/report/gene/main.html?id=2320917,gene,NCBITaxon:10116,Rattus norvegicus,Gene
ENSEMBL:ENSECAG00000016553,ENSEMBL:ENSECAG00000016553,http://ensembl.org/id/ENSECAG00000016553,gene,NCBITaxon:9796,Equus caballus,Gene
ENSEMBL:ENSACAG00000000836,ENSEMBL:ENSACAG00000000836,http://ensembl.org/id/ENSACAG00000000836,gene,NCBITaxon:28377,Anolis carolinensis,Gene
HGNC:4137,GAN,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4137,gene,NCBITaxon:9606,Homo sapiens,Gene
MGI:1195972,Terf2,http://www.informatics.jax.org/accession/MGI:1195972,gene,NCBITaxon:10090,Mus musculus,Gene
ENSEMBL:ENSDARG00000110480,BX511087.1,http://ensembl.org/id/ENSDARG00000110480,gene,NCBITaxon:7955,Danio rerio,Gene
WormBase:WBGene00002151,irk-3,https://www.wormbase.org/get?name=WBGene00002151,gene,NCBITaxon:6239,Caenorhabditis elegans,Gene
SGD:S000001610,PGM1,https://www.yeastgenome.org/locus/S000001610,gene,NCBITaxon:559292,Saccharomyces cerevisiae S288C,Gene
ENSEMBL:ENSFCAG00000025507,ENSEMBL:ENSFCAG00000025507,http://ensembl.org/id/ENSFCAG00000025507,gene,NCBITaxon:9685,Felis catus,Gene
ENSEMBL:ENSSSCG00000005710,LAMC3,http://ensembl.org/id/ENSSSCG00000005710,gene,NCBITaxon:9823,Sus scrofa,Gene
ENSEMBL:ENSOANG00000012482,ENSEMBL:ENSOANG00000012482,http://ensembl.org/id/ENSOANG00000012482,gene,NCBITaxon:9258,Ornithorhynchus anatinus,Gene
dictyBase:DDB_G0285453,DDB0230013,http://dictybase.org/gene/DDB_G0285453,gene,NCBITaxon:44689,Dictyostelium discoideum,Gene
RGD:1308596,Kif23,http://rgd.mcw.edu/rgdweb/report/gene/main.html?id=1308596,gene,NCBITaxon:10116,Rattus norvegicus,Gene
ENSEMBL:ENSCAFG00000001217,ENSEMBL:ENSCAFG00000001217,http://ensembl.org/id/ENSCAFG00000001217,gene,NCBITaxon:9615,Canis lupus familiaris,Gene
ENSEMBL:ENSFCAG00000013289,ENSEMBL:ENSFCAG00000013289,http://ensembl.org/id/ENSFCAG00000013289,gene,NCBITaxon:9685,Felis catus,Gene
ENSEMBL:ENSCAFG00000008853,TIAM1,http://ensembl.org/id/ENSCAFG00000008853,gene,NCBITaxon:9615,Canis lupus familiaris,Gene
ENSEMBL:ENSMMUG00000016936,ENSEMBL:ENSMMUG00000016936,http://ensembl.org/id/ENSMMUG00000016936,gene,NCBITaxon:9544,Macaca mulatta,Gene
ENSEMBL:ENSSSCG00000035446,CAVIN1,http://ensembl.org/id/ENSSSCG00000035446,gene,NCBITaxon:9823,Sus scrofa,Gene
ENSEMBL:ENSBTAG00000002414,ENSEMBL:ENSBTAG00000002414,http://ensembl.org/id/ENSBTAG00000002414,gene,NCBITaxon:9913,Bos taurus,Gene
HGNC:24036,APC2,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24036,gene,NCBITaxon:9606,Homo sapiens,Gene
ENSEMBL:ENSCAFG00000004409,EML2,http://ensembl.org/id/ENSCAFG00000004409,gene,NCBITaxon:9615,Canis lupus familiaris,Gene
ZFIN:ZDB-GENE-070228-6,utrn,http://zfin.org/ZDB-GENE-070228-6,gene,NCBITaxon:7955,Danio rerio,Gene
ZFIN:ZDB-GENE-050208-657,osbpl1a,http://zfin.org/ZDB-GENE-050208-657,gene,NCBITaxon:7955,Danio rerio,Gene
ENSEMBL:ENSXETG00000040224,ENSEMBL:ENSXETG00000040224,http://ensembl.org/id/ENSXETG00000040224,gene,NCBITaxon:8364,Xenopus tropicalis,Gene
ENSEMBL:ENSFCAG00000008178,ENSEMBL:ENSFCAG00000008178,http://ensembl.org/id/ENSFCAG00000008178,gene,NCBITaxon:9685,Felis catus,Gene
ENSEMBL:ENSACAG00000005142,ENSEMBL:ENSACAG00000005142,http://ensembl.org/id/ENSACAG00000005142,gene,NCBITaxon:28377,Anolis carolinensis,Gene
MGI:97769,Prnp,http://www.informatics.jax.org/accession/MGI:97769,gene,NCBITaxon:10090,Mus musculus,Gene
ENSEMBL:ENSACAG00000013231,ENSEMBL:ENSACAG00000013231,http://ensembl.org/id/ENSACAG00000013231,gene,NCBITaxon:28377,Anolis carolinensis,Gene
FlyBase:FBgn0038221,IFT54,http://flybase.org/reports/FBgn0038221,gene,NCBITaxon:7227,Drosophila melanogaster,Gene
ENSEMBL:ENSMMUG00000017529,ENSEMBL:ENSMMUG00000017529,http://ensembl.org/id/ENSMMUG00000017529,gene,NCBITaxon:9544,Macaca mulatta,Gene
ENSEMBL:ENSGALG00000039977,ENSEMBL:ENSGALG00000039977,http://ensembl.org/id/ENSGALG00000039977,gene,NCBITaxon:9031,Gallus gallus,Gene
ENSEMBL:ENSMMUG00000006464,ENSEMBL:ENSMMUG00000006464,http://ensembl.org/id/ENSMMUG00000006464,gene,NCBITaxon:9544,Macaca mulatta,Gene
ENSEMBL:ENSPTRG00000046743,ENSEMBL:ENSPTRG00000046743,http://ensembl.org/id/ENSPTRG00000046743,gene,NCBITaxon:9598,Pan troglodytes,Gene
ENSEMBL:ENSECAG00000021291,ENSEMBL:ENSECAG00000021291,http://ensembl.org/id/ENSECAG00000021291,gene,NCBITaxon:9796,Equus caballus,Gene
