id,semantic_groups,preflabel,synonyms,description,name
MGI:1889376,ORTH,Ccdc126,NA,NA,Ccdc126
ENSEMBL:ENSECAG00000019742,ORTH,ENSEMBL:ENSECAG00000019742,NA,NA,ENSEMBL:ENSECAG00000019742
WormBase:WBGene00002026,ORTH,hsp-70,NA,NA,hsp-70
GO:0005737,PHYS,cytoplasm,NA,NA,cytoplasm
ENSEMBL:ENSBTAG00000048623,ORTH,ENSEMBL:ENSBTAG00000048623,NA,NA,ENSEMBL:ENSBTAG00000048623
ENSEMBL:ENSSSCG00000048272,ORTH,ENSEMBL:ENSSSCG00000048272,NA,NA,ENSEMBL:ENSSSCG00000048272
ENSEMBL:ENSMMUG00000014701,ORTH,ENSEMBL:ENSMMUG00000014701,NA,NA,ENSEMBL:ENSMMUG00000014701
ENSEMBL:ENSSSCG00000035676,ORTH,G3BP1,G3BP|HDH-VIII,"This gene encodes one of the DNA-unwinding enzymes which prefers partially unwound 3'-tailed substrates and can also unwind partial RNA/DNA and RNA/RNA duplexes in an ATP-dependent fashion. This enzyme is a member of the heterogeneous nuclear RNA-binding proteins and is also an element of the Ras signal transduction pathway. It binds specifically to the Ras-GTPase-activating protein by associating with its SH3 domain. Several alternatively spliced transcript variants of this gene have been described, but the full-length nature of some of these variants has not been determined. [provided by RefSeq, Jul 2008].",G3BP stress granule assembly factor 1
HGNC:6919,GENE,MBD4,MED1|TPDS2|UVM1,"The protein encoded by this gene is a member of a family of nuclear proteins related by the presence of a methyl-CpG binding domain (MBD). These proteins are capable of binding specifically to methylated DNA, and some members can also repress transcription from methylated gene promoters. This protein contains an MBD domain at the N-terminus that functions both in binding to methylated DNA and in protein interactions and a C-terminal mismatch-specific glycosylase domain that is involved in DNA repair. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Jan 2013].","methyl-CpG binding domain 4, DNA glycosylase"
ENSEMBL:ENSBTAG00000021645,ORTH,MBD4,MED1|TPDS2|UVM1,"The protein encoded by this gene is a member of a family of nuclear proteins related by the presence of a methyl-CpG binding domain (MBD). These proteins are capable of binding specifically to methylated DNA, and some members can also repress transcription from methylated gene promoters. This protein contains an MBD domain at the N-terminus that functions both in binding to methylated DNA and in protein interactions and a C-terminal mismatch-specific glycosylase domain that is involved in DNA repair. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Jan 2013].","methyl-CpG binding domain 4, DNA glycosylase"
HGNC:4272,GENE,GIT1,p95-APP1,"Enables gamma-tubulin binding activity. Involved in positive regulation of microtubule nucleation and regulation of cytokinesis. Located in several cellular components, including focal adhesion; microtubule cytoskeleton; and mitochondrion. Implicated in attention deficit hyperactivity disorder. Biomarker of Huntington's disease. [provided by Alliance of Genome Resources, Apr 2022]",GIT ArfGAP 1
ENSEMBL:ENSPTRG00000008952,ORTH,ENSEMBL:ENSPTRG00000008952,NA,NA,ENSEMBL:ENSPTRG00000008952
MGI:88251,ORTH,Calm1,NA,NA,Calm1
ENSEMBL:ENSCAFG00000017563,ORTH,J9NWJ7,NA,NA,J9NWJ7
HGNC:12036,GENE,TRAF6,MGC:3310|RNF85,"The protein encoded by this gene is a member of the TNF receptor associated factor (TRAF) protein family. TRAF proteins are associated with, and mediate signal transduction from, members of the TNF receptor superfamily. This protein has an amino terminal RING domain which is followed by four zinc-finger motifs, a central coiled-coil region and a highly conserved carboxyl terminal domain, known as the TRAF-C domain and mediates signaling from members of the TNF receptor superfamily as well as the Toll/IL-1 family. Signals from receptors such as CD40, TNFSF11/RANCE and IL-1 have been shown to be mediated by this protein. This protein also interacts with various protein kinases including IRAK1/IRAK, SRC and PKCzeta, which provides a link between distinct signaling pathways. This protein functions as a signal transducer in the NF-kappaB pathway that activates IkappaB kinase (IKK) in response to proinflammatory cytokines. The interaction of this protein with UBE2N/UBC13, and UBE2V1/UEV1A, which are ubiquitin conjugating enzymes catalyzing the formation of polyubiquitin chains, has been found to be required for IKK activation by this protein. This protein also interacts with the transforming growth factor (TGF) beta receptor complex and is required for Smad-independent activation of the JNK and p38 kinases. The protein encoded by this gene is a key molecule in antiviral innate and antigen-specific immune responses. [provided by RefSeq, Nov 2021].",TNF receptor associated factor 6
HGNC:4851,GENE,HTT,5-HTT|5-HTTLPR|5HTT|HTT|OCD1|SERT|SERT1|hSERT,"This gene encodes an integral membrane protein that transports the neurotransmitter serotonin from synaptic spaces into presynaptic neurons. The encoded protein terminates the action of serotonin and recycles it in a sodium-dependent manner. This protein is a target of psychomotor stimulants, such as amphetamines and cocaine, and is a member of the sodium:neurotransmitter symporter family. A repeat length polymorphism in the promoter of this gene has been shown to affect the rate of serotonin uptake. There have been conflicting results in the literature about the possible effect, if any, that this polymorphism may play in behavior and depression. [provided by RefSeq, May 2019].",solute carrier family 6 member 4
HGNC:16716,GENE,DHX30,DDX30|NEDMIAL|RETCOR,"DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure such as translation initiation, nuclear and mitochondrial splicing, and ribosome and spliceosome assembly. Based on their distribution patterns, some members of this DEAD box protein family are believed to be involved in embryogenesis, spermatogenesis, and cellular growth and division. The family member encoded by this gene is a mitochondrial nucleoid protein that associates with mitochondrial DNA. It has also been identified as a component of a transcriptional repressor complex that functions in retinal development, and it is required to optimize the function of the zinc-finger antiviral protein. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Feb 2013].",DExH-box helicase 30
HGNC:11571,GENE,TARDBP,ALS10|TDP-43,"HIV-1, the causative agent of acquired immunodeficiency syndrome (AIDS), contains an RNA genome that produces a chromosomally integrated DNA during the replicative cycle. Activation of HIV-1 gene expression by the transactivator Tat is dependent on an RNA regulatory element (TAR) located downstream of the transcription initiation site. The protein encoded by this gene is a transcriptional repressor that binds to chromosomally integrated TAR DNA and represses HIV-1 transcription. In addition, this protein regulates alternate splicing of the CFTR gene. A similar pseudogene is present on chromosome 20. [provided by RefSeq, Jul 2008].",TAR DNA binding protein
SGD:S000003827,ORTH,TOR1,NA,NA,TOR1
MONARCH:APO_0000316APO_0000004,GENO,chronological lifespan:increased,NA,NA,chronological lifespan:increased
ENSEMBL:ENSMODG00000014624,ORTH,ENSEMBL:ENSMODG00000014624,NA,NA,ENSEMBL:ENSMODG00000014624
RGD:2320860,ORTH,LOC100364500,NA,NA,LOC100364500
ENSEMBL:ENSMMUG00000022691,ORTH,ENSEMBL:ENSMMUG00000022691,NA,NA,ENSEMBL:ENSMMUG00000022691
ENSEMBL:ENSCAFG00000040985,ORTH,OPRM1,LMOR|M-OR-1|MOP|MOR|MOR1|OPRM,"This gene encodes one of at least three opioid receptors in humans; the mu opioid receptor (MOR). The MOR is the principal target of endogenous opioid peptides and opioid analgesic agents such as beta-endorphin and enkephalins. The MOR also has an important role in dependence to other drugs of abuse, such as nicotine, cocaine, and alcohol via its modulation of the dopamine system. The NM_001008503.2:c.118A>G allele has been associated with opioid and alcohol addiction and variations in pain sensitivity but evidence for it having a causal role is conflicting. Multiple transcript variants encoding different isoforms have been found for this gene. Though the canonical MOR belongs to the superfamily of 7-transmembrane-spanning G-protein-coupled receptors some isoforms of this gene have only 6 transmembrane domains. [provided by RefSeq, Oct 2013].",opioid receptor mu 1
FlyBase:FBgn0026404,ORTH,Dronc,NA,NA,Dronc
FlyBase:FBgn0020381,ORTH,Dredd,NA,NA,Dredd
ENSEMBL:ENSMMUG00000056914,ORTH,ENSEMBL:ENSMMUG00000056914,NA,NA,ENSEMBL:ENSMMUG00000056914
ZFIN:ZDB-GENE-140820-3,ORTH,mhc1lba,NA,NA,mhc1lba
MGI:2659071,ORTH,Rapgef2,NA,NA,Rapgef2
MP:0011100,DISO,"preweaning lethality, complete penetrance",NA,NA,"preweaning lethality, complete penetrance"
MGI:1276522,ORTH,H2-M10.1,NA,NA,H2-M10.1
ENSEMBL:ENSACAG00000006498,ORTH,ENSEMBL:ENSACAG00000006498,NA,NA,ENSEMBL:ENSACAG00000006498
WormBase:WBGene00012735,ORTH,sptf-3,NA,NA,sptf-3
MGI:98372,ORTH,Sp1,NA,NA,Sp1
ENSEMBL:ENSBTAG00000004556,ORTH,ENSEMBL:ENSBTAG00000004556,NA,NA,ENSEMBL:ENSBTAG00000004556
FlyBase:FBgn0028561,ORTH,sut3,NA,NA,sut3
FlyBase:FBgn0001217,ORTH,Hsc70-2,NA,NA,Hsc70-2
WormBase:WBGene00009691,ORTH,F44E5.4,NA,NA,F44E5.4
HGNC:23024,GENE,COMMD1,C2orf5|MURR1,"COMMD1 is a regulator of copper homeostasis, sodium uptake, and NF-kappa-B (see MIM 164011) signaling (de Bie et al., 2005 [PubMed 16267171]).[supplied by OMIM, Sep 2009]",copper metabolism domain containing 1
HGNC:2239,GENE,COPS3,CSN3|SGN3,"The protein encoded by this gene possesses kinase activity that phosphorylates regulators involved in signal transduction. It phosphorylates I kappa-Balpha, p105, and c-Jun. It acts as a docking site for complex-mediated phosphorylation. The gene is located within the Smith-Magenis syndrome region on chromosome 17. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2015].",COP9 signalosome subunit 3
FlyBase:FBgn0000045,ORTH,Act79B,NA,NA,Act79B
ENSEMBL:ENSPTRG00000002086,ORTH,ENSEMBL:ENSPTRG00000002086,NA,NA,ENSEMBL:ENSPTRG00000002086
MGI:1926884,ORTH,Huwe1,NA,NA,Huwe1
ENSEMBL:ENSCAFG00000016311,ORTH,HUWE1,ARF-BP1|HECTH9|HSPC272|Ib772|LASU1|MRXST|MULE|URE-B1|UREB1,"This gene encodes a protein containing a C-terminal HECT (E6AP type E3 ubiquitin protein ligase) domain that functions as an E3 ubiquitin ligase. The encoded protein is required for the ubiquitination and subsequent degradation of the anti-apoptotic protein Mcl1 (myeloid cell leukemia sequence 1 (BCL2-related)). This protein also ubiquitinates the p53 tumor suppressor, core histones, and DNA polymerase beta. Mutations in this gene are associated with Turner type X-linked syndromic cognitive disability. [provided by RefSeq, Aug 2013].","HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1"
WormBase:WBGene00007922,ORTH,pph-6,NA,NA,pph-6
ENSEMBL:ENSMODG00000039439,ORTH,ENSEMBL:ENSMODG00000039439,NA,NA,ENSEMBL:ENSMODG00000039439
WormBase:WBGene00016250,ORTH,hsp-110,NA,NA,hsp-110
FlyBase:FBgn0035878,ORTH,CG7182,NA,NA,CG7182
ENSEMBL:ENSFCAG00000005177,ORTH,ENSEMBL:ENSFCAG00000005177,NA,NA,ENSEMBL:ENSFCAG00000005177
FlyBase:FBgn0030141,ORTH,Gga,NA,NA,Gga
ENSEMBL:ENSGALG00000047314,ORTH,YF5,NA,NA,YF5
RGD:735037,ORTH,RT1-S3,NA,NA,RT1-S3
ENSEMBL:ENSCAFG00000004616,ORTH,ENSEMBL:ENSCAFG00000004616,NA,NA,ENSEMBL:ENSCAFG00000004616
ENSEMBL:ENSPTRG00000004125,ORTH,ENSEMBL:ENSPTRG00000004125,NA,NA,ENSEMBL:ENSPTRG00000004125
WormBase:WBGene00003950,ORTH,pbs-4,NA,NA,pbs-4
WBPhenotype:0001236,DISO,transgene expression increased,NA,NA,transgene expression increased
ENSEMBL:ENSMODG00000001879,ORTH,ENSEMBL:ENSMODG00000001879,NA,NA,ENSEMBL:ENSMODG00000001879
ENSEMBL:ENSRNOG00000038610,ORTH,E9PTN6,NA,NA,E9PTN6
MGI:95896,ORTH,H2-D1,NA,NA,H2-D1
WormBase:WBGene00000915,ORTH,hsp-90,NA,NA,hsp-90
WormBase:WBGene00004464,ORTH,rpn-8,NA,NA,rpn-8
HP:0031473,DISO,Hostility,NA,NA,Hostility
WormBase:WBGene00016311,ORTH,efr-3,NA,NA,efr-3
ENSEMBL:ENSSSCG00000005955,ORTH,EFR3A,NA,"The protein encoded by this gene is part of a complex that plays a role in maintaining an active pool of phosphatidylinositol 4-kinase (PI4K) at the plasma membrane. This protein is thought to be a peripheral membrane protein that associates with the plasma membrane through palmitoylation. Studies indicate that this gene product plays a role in controlling G protein-coupled receptor (GPCR) activity by affecting receptor phosphorylation. Whole exome sequencing studies have implicated mutations in this gene with autism spectrum disorders. [provided by RefSeq, Apr 2016].",EFR3 homolog A
WormBase:WBGene00017166,ORTH,aldo-2,NA,NA,aldo-2
FBcv:0006004,DISO,abnormal oviposition,NA,NA,abnormal oviposition
ZFIN:ZDB-GENE-031110-4,ORTH,tubb5,NA,NA,tubb5
ZFIN:ZDB-GENE-090507-4,ORTH,tuba1a,NA,NA,tuba1a
ENSEMBL:ENSRNOG00000023547,ORTH,F1M4G6,NA,NA,F1M4G6
ENSEMBL:ENSCAFG00000002103,ORTH,J9P6C4,NA,NA,J9P6C4
ENSEMBL:ENSOANG00000015672,ORTH,ENSEMBL:ENSOANG00000015672,NA,NA,ENSEMBL:ENSOANG00000015672
RGD:620475,ORTH,Npy2r,NA,NA,Npy2r
HGNC:5237,GENE,HSPA4,APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY,"Predicted to enable ATP binding activity. Involved in chaperone-mediated protein complex assembly and protein insertion into mitochondrial outer membrane. Located in cytosol and extracellular exosome. Implicated in Chagas disease. Biomarker of chronic obstructive pulmonary disease; rheumatoid arthritis; type 2 diabetes mellitus; and ulcerative colitis. [provided by Alliance of Genome Resources, Apr 2022]",heat shock protein family A (Hsp70) member 4
HGNC:5961,GENE,IKBKG,AMCBX1|EDAID1|FIP-3|FIP3|Fip3p|IKK-gamma|IKKAP1|IKKG|IMD33|IP|IP1|IP2|IPD2|NEMO|SAIDX|ZC2HC9,"This gene encodes the regulatory subunit of the inhibitor of kappaB kinase (IKK) complex, which activates NF-kappaB resulting in activation of genes involved in inflammation, immunity, cell survival, and other pathways. Mutations in this gene result in incontinentia pigmenti, hypohidrotic ectodermal dysplasia, and several other types of immunodeficiencies. A pseudogene highly similar to this locus is located in an adjacent region of the X chromosome. [provided by RefSeq, Mar 2016].",inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
MGI:95929,ORTH,H2-Q10,NA,NA,H2-Q10
ENSEMBL:ENSGALG00000052732,ORTH,A0A3Q2TYX2,NA,NA,A0A3Q2TYX2
ZFIN:ZDB-GENE-140820-11,ORTH,mhc1lja,NA,NA,mhc1lja
HGNC:12468,GENE,UBC,CEP80|HEL112|S27A|UBA80|UBC|UBCEP1|UBCEP80|eS31,"Ubiquitin, a highly conserved protein that has a major role in targeting cellular proteins for degradation by the 26S proteosome, is synthesized as a precursor protein consisting of either polyubiquitin chains or a single ubiquitin fused to an unrelated protein. This gene encodes a fusion protein consisting of ubiquitin at the N terminus and ribosomal protein S27a at the C terminus. When expressed in yeast, the protein is post-translationally processed, generating free ubiquitin monomer and ribosomal protein S27a. Ribosomal protein S27a is a component of the 40S subunit of the ribosome and belongs to the S27AE family of ribosomal proteins. It contains C4-type zinc finger domains and is located in the cytoplasm. Pseudogenes derived from this gene are present in the genome. As with ribosomal protein S27a, ribosomal protein L40 is also synthesized as a fusion protein with ubiquitin; similarly, ribosomal protein S30 is synthesized as a fusion protein with the ubiquitin-like protein fubi. Multiple alternatively spliced transcript variants that encode the same proteins have been identified.[provided by RefSeq, Sep 2008].",ribosomal protein S27a
HGNC:4897,GENE,HGS,HRS,"The protein encoded by this gene regulates endosomal sorting and plays a critical role in the recycling and degradation of membrane receptors. The encoded protein sorts monoubiquitinated membrane proteins into the multivesicular body, targeting these proteins for lysosome-dependent degradation. [provided by RefSeq, Dec 2010].",hepatocyte growth factor-regulated tyrosine kinase substrate
ZFIN:ZDB-GENE-140820-5,ORTH,mhc1lda,NA,NA,mhc1lda
MGI:1333839,ORTH,Magea4,NA,NA,Magea4
ENSEMBL:ENSFCAG00000046095,ORTH,ENSEMBL:ENSFCAG00000046095,NA,NA,ENSEMBL:ENSFCAG00000046095
ZFIN:ZDB-GENE-041014-307,ORTH,ipo4,NA,NA,ipo4
MGI:95904,ORTH,H2-K1,NA,NA,H2-K1
RGD:1595924,ORTH,RT1-A1,NA,NA,RT1-A1
ZFIN:ZDB-GENE-010502-1,ORTH,hmga1a,NA,NA,hmga1a
GO:0005634,PHYS,nucleus,NA,NA,nucleus
ENSEMBL:ENSXETG00000033834,ORTH,ENSEMBL:ENSXETG00000033834,NA,NA,ENSEMBL:ENSXETG00000033834
ZFIN:ZDB-GENE-140820-4,ORTH,mhc1lca,NA,NA,mhc1lca
MGI:107745,ORTH,Dctn1,NA,NA,Dctn1
MGI:103071,ORTH,Rangap1,NA,NA,Rangap1
PomBase:SPBC1709.04c,GENO,cyp3,NA,NA,cyp3
MGI:106499,ORTH,Ppih,NA,NA,Ppih
MGI:96904,ORTH,M6pr,NA,NA,M6pr
MGI:101920,ORTH,Ap2a2,NA,NA,Ap2a2
HGNC:7672,GENE,NCOR1,N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR,"This gene encodes a protein that mediates ligand-independent transcription repression of thyroid-hormone and retinoic-acid receptors by promoting chromatin condensation and preventing access of the transcription machinery. It is part of a complex which also includes histone deacetylases and transcriptional regulators similar to the yeast protein Sin3p. This gene is located between the Charcot-Marie-Tooth and Smith-Magenis syndrome critical regions on chromosome 17. Alternate splicing results in multiple transcript variants. Pseudogenes of this gene are found on chromosomes 17 and 20.[provided by RefSeq, Jun 2010].",nuclear receptor corepressor 1
HGNC:24500,GENE,VIRMA,KIAA1429|MSTP054|fSAP121,"Enables RNA binding activity. Involved in mRNA alternative polyadenylation and mRNA methylation. Located in cytosol and nuclear speck. Colocalizes with RNA N6-methyladenosine methyltransferase complex. [provided by Alliance of Genome Resources, Apr 2022]",vir like m6A methyltransferase associated
FlyBase:FBgn0035982,ORTH,CG4461,NA,NA,CG4461
ZFIN:ZDB-GENE-080214-6,ORTH,hspb9,NA,NA,hspb9
HGNC:2457,GENE,CSNK2A1,CK2A2|CK2alpha'|CSNK2A1,"This gene encodes the alpha', or alpha 2, catalytic subunit of the protein kinase enzyme, casein kinase 2 (CK2). Casein kinase 2 is a serine/threonine protein kinase that phosphorylates acidic proteins such as casein. It is involved in various cellular processes, including cell cycle control, apoptosis, and circadian rhythms. This heterotetrameric kinase includes two catalytic subunits, either alpha or alpha', and two regulatory beta subunits. The closely related gene paralog encoding the alpha, or alpha 1 subunit (CSNK2A1, Gene ID: 1457) is found on chromosome 20. An intronic variant in this gene (alpha 2) may be associated with leukocyte telomere length in a South Asian population. A related transcribed pseudogene is found on chromosome 11. [provided by RefSeq, Aug 2017].",casein kinase 2 alpha 2
HGNC:29079,GENE,KDM1A,AOF2|BHC110|CPRF|KDM1|LSD1,"This gene encodes a nuclear protein containing a SWIRM domain, a FAD-binding motif, and an amine oxidase domain. This protein is a component of several histone deacetylase complexes, though it silences genes by functioning as a histone demethylase. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2009].",lysine demethylase 1A
RGD:1595869,ORTH,RT1-CE1,NA,NA,RT1-CE1
ENSEMBL:ENSGALG00000051088,ORTH,A0A3Q2UMZ6,NA,NA,A0A3Q2UMZ6
HGNC:7104,GENE,MIPEP,COXPD31|HMIP|MIP,"The product of this gene performs the final step in processing a specific class of nuclear-encoded proteins targeted to the mitochondrial matrix or inner membrane. This protein is primarily involved in the maturation of oxidative phosphorylation (OXPHOS)-related proteins. This gene may contribute to the functional effects of frataxin deficiency and the clinical manifestations of Friedreich ataxia. [provided by RefSeq, Jul 2008].",mitochondrial intermediate peptidase
HGNC:4834,GENE,HBS1L,EF-1a|ERFS|HBS1|HSPC276|eRF3c,"This gene encodes a member of the GTP-binding elongation factor family. It is expressed in multiple tissues with the highest expression in heart and skeletal muscle. The intergenic region of this gene and the MYB gene has been identified to be a quantitative trait locus (QTL) controlling fetal hemoglobin level, and this region influnces erythrocyte, platelet, and monocyte counts as well as erythrocyte volume and hemoglobin content. DNA polymorphisms at this region associate with fetal hemoglobin levels and pain crises in sickle cell disease. A single nucleotide polymorphism in exon 1 of this gene is significantly associated with severity in beta-thalassemia/Hemoglobin E. Multiple alternatively spliced transcript variants encoding different protein isoforms have been found for this gene. [provided by RefSeq, May 2009].",HBS1 like translational GTPase
RGD:1562692,ORTH,Atxn7,NA,NA,Atxn7
ENSEMBL:ENSMMUG00000001508,ORTH,ENSEMBL:ENSMMUG00000001508,NA,NA,ENSEMBL:ENSMMUG00000001508
ENSEMBL:ENSOANG00000040317,ORTH,ENSEMBL:ENSOANG00000040317,NA,NA,ENSEMBL:ENSOANG00000040317
ENSEMBL:ENSGALG00000052329,ORTH,PEX11B,PEX11-BETA|PEX11beta|PEX14B,"The protein encoded by this gene facilitates peroxisomal proliferation and interacts with PEX19. The encoded protein is found in the peroxisomal membrane. Several transcript variants, some protein-coding and some not protein-coding, have been found for this gene. [provided by RefSeq, Dec 2012].",peroxisomal biogenesis factor 11 beta
ENSEMBL:ENSRNOG00000059770,ORTH,F1M9F3,NA,NA,F1M9F3
MGI:95928,ORTH,H2-Q1,NA,NA,H2-Q1
FlyBase:FBgn0038499,ORTH,Brf,NA,NA,Brf
FBcv:0002027,DISO,lethal - all die before end of pupal stage,NA,NA,lethal - all die before end of pupal stage
HGNC:12666,GENE,VCP,CDC48|FTDALS6|TERA|p97,"This gene encodes a member of the AAA ATPase family of proteins. The encoded protein plays a role in protein degradation, intracellular membrane fusion, DNA repair and replication, regulation of the cell cycle, and activation of the NF-kappa B pathway. This protein forms a homohexameric complex that interacts with a variety of cofactors and extracts ubiquitinated proteins from lipid membranes or protein complexes. Mutations in this gene cause IBMPFD (inclusion body myopathy with paget disease of bone and frontotemporal dementia), ALS (amyotrophic lateral sclerosis) and Charcot-Marie-Tooth disease in human patients. [provided by RefSeq, Aug 2017].",valosin containing protein
HGNC:11280,GENE,SQSTM1,A170|DMRV|FTDALS3|NADGP|OSIL|PDB3|ZIP3|p60|p62|p62B,"This gene encodes a multifunctional protein that binds ubiquitin and regulates activation of the nuclear factor kappa-B (NF-kB) signaling pathway. The protein functions as a scaffolding/adaptor protein in concert with TNF receptor-associated factor 6 to mediate activation of NF-kB in response to upstream signals. Alternatively spliced transcript variants encoding either the same or different isoforms have been identified for this gene. Mutations in this gene result in sporadic and familial Paget disease of bone. [provided by RefSeq, Mar 2009].",sequestosome 1
FlyBase:FBgn0003139,ORTH,PpV,NA,NA,PpV
FBcv:0002033,DISO,lethal - all die during embryonic stage,NA,NA,lethal - all die during embryonic stage
ENSEMBL:ENSPTRG00000050477,ORTH,ENSEMBL:ENSPTRG00000050477,NA,NA,ENSEMBL:ENSPTRG00000050477
ENSEMBL:ENSBTAG00000033167,ORTH,ENSEMBL:ENSBTAG00000033167,NA,NA,ENSEMBL:ENSBTAG00000033167
WormBase:WBGene00008805,ORTH,git-1,NA,NA,git-1
ENSEMBL:ENSMMUG00000045275,ORTH,ENSEMBL:ENSMMUG00000045275,NA,NA,ENSEMBL:ENSMMUG00000045275
ENSEMBL:ENSGALG00000005517,ORTH,KIF9,NA,"Enables identical protein binding activity. Involved in extracellular matrix disassembly; organelle disassembly; and regulation of podosome assembly. Located in microtubule; podosome; and vesicle. [provided by Alliance of Genome Resources, Apr 2022]",kinesin family member 9
HGNC:5229,GENE,DNAJA1,DJ-2|DjA1|HDJ2|HSDJ|HSJ-2|HSJ2|HSPF4|NEDD7|hDJ-2,"This gene encodes a member of the DnaJ family of proteins, which act as heat shock protein 70 cochaperones. Heat shock proteins facilitate protein folding, trafficking, prevention of aggregation, and proteolytic degradation. Members of this family are characterized by a highly conserved N-terminal J domain, a glycine/phenylalanine-rich region, four CxxCxGxG zinc finger repeats, and a C-terminal substrate-binding domain. The J domain mediates the interaction with heat shock protein 70 to recruit substrates and regulate ATP hydrolysis activity. In humans, this gene has been implicated in positive regulation of virus replication through co-option by the influenza A virus. Several pseudogenes of this gene are found on other chromosomes. [provided by RefSeq, Sep 2015].",DnaJ heat shock protein family (Hsp40) member A1
UBERON:0004804,ANAT,oviduct epithelium,NA,NA,oviduct epithelium
ENSEMBL:ENSACAG00000002544,ORTH,ENSEMBL:ENSACAG00000002544,NA,NA,ENSEMBL:ENSACAG00000002544
